season,cut,team,D
2023,3,Ohio,0.008793885870467552
2023,3,Ohio State,0.020003732435723207
2023,3,Oklahoma,0.020961151062879633
2023,3,Oklahoma State,-0.01521120942623183
2023,3,Old Dominion,-0.0334379609070532
2023,3,Ole Miss,0.012914999779686001
2023,3,Oregon,0.019150571814119166
2023,3,Oregon State,0.011887272300188762
2023,3,Penn State,0.006147604375445135
2023,3,Pittsburgh,-0.018351451490552787
2023,3,Purdue,0.008656416073782924
2023,3,Rice,-0.026489009941092122
2023,3,Rutgers,0.018957499510923678
2023,3,SMU,0.004920236762253951
2023,3,Sam Houston,-0.022892350122864988
2023,3,San Diego State,-0.03456402900609587
2023,3,San José State,-0.014335480909134307
2023,3,South Alabama,0.00014439537680754558
2023,3,South Carolina,-0.004342081903870145
2023,3,South Florida,-0.029908744276824824
2023,3,Southern Miss,-0.02370884738786993
2023,3,Stanford,-0.015563419369120389
2023,3,Syracuse,0.002960393471079675
2023,3,TCU,0.00788340528117201
2023,3,Temple,-0.01127533724472468
2023,3,Tennessee,0.01599229376887574
2023,3,Texas,0.005851338424387039
2023,3,Texas A&M,0.008161165667953565
2023,3,Texas State,-0.012572183038848517
2023,3,Texas Tech,-0.00870342741334027
2023,3,Toledo,0.0031710912147867192
2023,3,Troy,-0.01243017749719855
2023,3,Tulane,-0.0034614025846630607
2023,3,Tulsa,-0.010320633367477159
2023,3,UAB,-0.008524745633518335
2023,3,UCF,0.01649722318816233
2023,3,UCLA,0.022823759600184068
2023,3,UConn,-0.003688303014183704
2023,3,UL Monroe,-0.003961208275291532
2023,3,UNLV,-0.01706405255287835
2023,3,USC,0.018728523746578154
2023,3,UTEP,-0.007705156162484072
2023,3,UTSA,-0.0168359670429614
2023,3,Utah,0.007263288889752231
2023,3,Utah State,-0.02645951335825518
2023,3,Vanderbilt,0.010511269923056642
2023,3,Virginia,-0.031390578253201754
2023,3,Virginia Tech,-0.009639466401470795
2023,3,Wake Forest,0.009365260393513217
2023,3,Washington,0.013997672724400174
2023,3,Washington State,0.004189678866063159
2023,3,West Georgia,-0.0019452163137764144
2023,3,West Virginia,0.0018312293987338454
2023,3,Western Kentucky,-0.012585980389355633
2023,3,Western Michigan,-0.01392305598524943
2023,3,Wisconsin,0.0030248856798112435
2023,3,Wyoming,-0.007028418732455341
2023,6,Air Force,0.024588175531545714
2023,6,Akron,-0.024255097083544206
2023,6,Alabama,0.029067265421992554
2023,6,App State,-0.009400008279969759
2023,6,Arizona,-0.0018818509467912969
2023,6,Arizona State,-0.026080099053219702
2023,6,Arkansas,-0.0062305110895495815
2023,6,Arkansas State,-0.011954489614642235
2023,6,Army,-0.006668270762935411
2023,6,Auburn,-0.004044019819563291
2023,6,BYU,0.0037574036050533758
2023,6,Ball State,-0.01000533771134509
2023,6,Baylor,-0.015287849009196762
2023,6,Boise State,-0.020611819158772634
2023,6,Boston College,-0.00294303633254799
2023,6,Bowling Green,-0.02532671792134354
2023,6,Buffalo,-0.007670744435990724
2023,6,California,-0.003203890578550548
2023,6,Central Michigan,-0.02587085292465691
2023,6,Charlotte,-0.007394840573703435
2023,6,Cincinnati,-0.008623801437935865
2023,6,Clemson,0.00040848358319541493
2023,6,Coastal Carolina,-0.017207114495356616
2023,6,Colorado,-0.006745215669766279
2023,6,Colorado State,-0.0063185318914511825
2023,6,Duke,0.01444682219614737
2023,6,East Carolina,-0.02020609807702783
2023,6,Eastern Michigan,-0.014977491054412475
2023,6,Florida,0.018706573071010736
2023,6,Florida Atlantic,-0.00404380111459885
2023,6,Florida International,-0.021607665118106044
2023,6,Florida State,0.01282306160223267
2023,6,Fresno State,0.0027804728508758385
2023,6,Georgia,0.03227683826660424
2023,6,Georgia Southern,0.0081365751809444
2023,6,Georgia State,-0.0064935268431252505
2023,6,Georgia Tech,0.0021751569867456385
2023,6,Hawai'i,-0.01694370601347744
2023,6,Houston,0.0016609572194275157
2023,6,Illinois,-0.0066411716092641985
2023,6,Indiana,-0.006475396570304549
2023,6,Iowa,0.0036547775053410855
2023,6,Iowa State,-0.0035429791854206384
2023,6,Jacksonville State,0.005560655800757158
