facet,rho,rho_raw,basis,n_pairs,validity_raw,n_moves,n_pairs_v,validity
TE_pass_block,0.1567621484560139,0.1572689076619226,partial,594,-0.14471599904198543,37,594,0.12479581684708659
TE_positive_epa_pct,0.35637003192168765,0.35637003192168765,raw,154,-0.22534628861333736,14,154,0.163583705867127
TE_run_block,0.32017866245141985,0.33782628688450267,partial,1248,0.19969239144406598,120,1248,0.2003793400414184
TE_targeted_qb_rating,0.24505557784173254,0.24505557784173254,raw,154,-0.31465495764022244,14,154,0.163583705867127
TE_yards_after_catch,0.4172548289144915,0.4172548289144915,raw,69,-0.12415556427198907,6,69,0.1834120338510212
WR_avg_depth_of_target,0.6159356294807213,0.6136082541629501,partial,1112,0.26831201736804533,113,1112,0.2452280473800955
WR_avoided_tackles,0.41317954729836875,0.39284068352833257,partial,688,0.3433457761432464,68,688,0.2769742735305325
WR_contested_catch_rate,0.02,0.023807495299844085,partial,719,-0.07693091458959977,115,719,0.06917253848095657
WR_drop_rate,0.25010955917080213,0.24314809825230344,partial,1112,0.24047131160590407,113,1112,0.22704307772043097
WR_first_downs,0.2199126358190774,0.30291159326777495,partial,1112,0.1203416575986061,113,1112,0.148576887530693
WR_hands_drop,0.21202190727314302,0.21380537616295717,partial,1708,0.125270922213813,193,1708,0.14340902063807634
WR_offense,0.29899816002597057,0.3253507447720318,partial,2593,0.11275604249964381,327,2593,0.1265540571874701
WR_pass_route,0.2942237376894933,0.3194264540267833,partial,2593,0.08284291079044097,327,2593,0.10127862031690335
WR_touchdowns,0.253842121862261,0.30280856908160364,partial,1112,0.16182745557568662,113,1112,0.1756745474810404
WR_yards_after_catch,0.43158648674971267,0.4413711899753938,partial,688,0.3919993969977512,68,688,0.30282150960948817
WR_yards_per_reception,0.43204196851559523,0.4176662949375924,partial,688,0.024768432611554696,68,688,0.10773005977932124
WR_yprr,0.30357666282327045,0.3360168447184105,partial,2260,0.07211216684307012,278,2260,0.09512537460515057
cfbd_core,0.23794704966724975,0.2381735601745288,partial,3627,0.07644997970407272,431,3627,0.09176198673446587
cfbd_havoc_dl,0.5119191870028138,0.5275620248616435,partial,3137,0.3671685997482657,322,3137,0.3411871291966203
cfbd_havoc_lb,0.3685429847929427,0.39100423931642336,partial,2501,0.2818930229011077,238,2501,0.26575749558601014
cfbd_recv_rb,0.2598842516142361,0.2859704649243341,partial,1707,0.22286732638606943,186,1707,0.21771754854461917
cfbd_recv_te,0.1465259010253896,0.18469880602116429,partial,926,0.2256142791255989,84,926,0.21567217833831742
cfbd_recv_wr,0.25894247328061043,0.27971843548643394,partial,2636,0.19433837013753077,311,2636,0.19553754001870477
cfbd_run_qb,0.14032479651738916,0.25329585534938703,partial,807,0.05599890121424844,127,807,0.10276499833356659
cfbd_run_rb,0.23382834014780024,0.26719225424452847,partial,1617,0.16748776341587285,171,1617,0.17638788648606776
cfbd_tackle_db,0.5816232693708642,0.5837616781445698,partial,3634,0.5602703434903987,433,3634,0.5166374299503247
cfbd_tackle_lb,0.5440840546673364,0.5431741606675934,partial,2501,0.5057489173230799,238,2501,0.4445417334129545
