season,team,f,massey,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct
2014,Kentucky,-0.1412939359513443,0.0048470479245678166,11,4.5,0.4090909090909091,4,0.3636363636363636
2014,LSU,0.028081862636745843,0.03237817215604003,12,6.5,0.5416666666666666,7,0.5833333333333334
2014,Louisiana,0.2557514237586567,0.013807975234860534,12,7.0,0.5833333333333334,8,0.6666666666666666
2014,Louisiana Tech,0.14961211015528303,0.005212692159335855,13,9.5,0.7307692307692307,9,0.6923076923076923
2014,Louisville,0.3361463957319627,0.03143661267244299,12,8.0,0.6666666666666666,8,0.6666666666666666
2014,Marshall,0.5326607891846395,0.012497579633599732,13,11.5,0.8846153846153846,12,0.9230769230769232
2014,Maryland,-0.047782509614609066,0.011524412292224529,12,5.0,0.4166666666666667,6,0.5
2014,Massachusetts,0.01436930795323995,-0.020575720456843354,12,5.5,0.4583333333333333,3,0.25
2014,Memphis,0.22921724377157207,-0.007827989130831199,12,9.0,0.75,9,0.75
2014,Miami,0.22223385775916304,0.023803197800430023,12,6.0,0.5,5,0.4166666666666667
2014,Miami (OH),-0.4038572357394145,-0.04773280473805554,11,3.0,0.2727272727272727,2,0.1818181818181818
2014,Michigan,-0.020072399385070695,0.0060896175801270335,12,5.0,0.4166666666666667,5,0.4166666666666667
2014,Michigan State,0.4173649106070785,0.046668060276276874,12,9.0,0.75,10,0.8333333333333334
2014,Middle Tennessee,-0.20967717773191083,-0.03660714392884869,11,4.0,0.3636363636363636,5,0.4545454545454545
2014,Minnesota,-0.023571847751233034,0.013651826793043212,12,6.5,0.5416666666666666,7,0.5833333333333334
2014,Mississippi State,0.28278128055953267,0.04369361794852455,12,8.5,0.7083333333333334,9,0.75
2014,Missouri,0.19969835938005548,0.03710751010232039,13,8.5,0.6538461538461539,10,0.7692307692307693
