season,team,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct
2019,Florida Atlantic,13,10.5,0.8076923076923077,10,0.7692307692307693
2019,Cincinnati,14,9.5,0.6785714285714286,11,0.7857142857142857
2019,Buffalo,12,8.0,0.6666666666666666,7,0.5833333333333334
2019,Pittsburgh,12,6.0,0.5,7,0.5833333333333334
2019,Nevada,12,4.5,0.375,6,0.5
2019,Liberty,11,5.0,0.45454545454545453,6,0.5454545454545454
2019,Central Michigan,13,7.5,0.5769230769230769,7,0.5384615384615384
2019,Wake Forest,12,6.0,0.5,7,0.5833333333333334
2019,Boise State,13,9.5,0.7307692307692307,11,0.8461538461538461
2019,East Carolina,10,2.0,0.2,2,0.2
2019,Virginia,13,8.0,0.6153846153846154,8,0.6153846153846154
2019,Virginia Tech,11,6.5,0.5909090909090909,6,0.5454545454545454
2019,South Florida,11,3.5,0.3181818181818182,3,0.2727272727272727
2019,Ohio,12,7.0,0.5833333333333334,6,0.5
2019,Old Dominion,11,1.5,0.13636363636363635,0,0.0
2019,Charlotte,12,5.0,0.4166666666666667,6,0.5
2019,UCF,12,10.0,0.8333333333333334,9,0.75
2019,Florida International,12,5.5,0.4583333333333333,5,0.4166666666666667
2019,Washington State,12,5.5,0.4583333333333333,5,0.4166666666666667
2019,Utah,13,10.0,0.7692307692307693,10,0.7692307692307693
2019,USC,13,7.0,0.5384615384615384,8,0.6153846153846154
2019,Hawai'i,14,7.0,0.5,9,0.6428571428571429
2019,Washington,12,9.0,0.75,7,0.5833333333333334
2019,North Texas,11,4.5,0.4090909090909091,3,0.2727272727272727
2019,Air Force,12,9.0,0.75,10,0.8333333333333334
2019,San Diego State,12,9.5,0.7916666666666666,9,0.75
2019,Marshall,12,5.5,0.4583333333333333,7,0.5833333333333334
2019,Navy,12,8.5,0.7083333333333334,10,0.8333333333333334
2019,New Mexico,11,1.0,0.09090909090909091,1,0.09090909090909091
2021,Miami,11,5.5,0.5,6,0.5454545454545454
2021,Alabama,14,10.5,0.75,12,0.8571428571428571
2021,Arkansas,12,8.0,0.6666666666666666,8,0.6666666666666666
2021,Rice,11,2.5,0.22727272727272727,3,0.2727272727272727
2021,Auburn,12,6.5,0.5416666666666666,5,0.4166666666666667
2021,Akron,11,2.0,0.18181818181818182,1,0.09090909090909091
2021,Florida,12,6.5,0.5416666666666666,5,0.4166666666666667
2021,Florida Atlantic,11,3.5,0.3181818181818182,4,0.36363636363636365
2021,Clemson,12,7.5,0.625,9,0.75
2021,Georgia,14,12.5,0.8928571428571429,13,0.9285714285714286
2021,Kentucky,12,7.5,0.625,9,0.75
2021,UL Monroe,11,4.0,0.36363636363636365,3,0.2727272727272727
2021,UCLA,12,8.5,0.7083333333333334,8,0.6666666666666666
2021,LSU,12,5.0,0.4166666666666667,5,0.4166666666666667
2021,Mississippi State,12,6.5,0.5416666666666666,6,0.5
2021,Louisiana Tech,11,4.0,0.36363636363636365,2,0.18181818181818182
2021,Missouri,12,5.5,0.4583333333333333,5,0.4166666666666667
2021,Central Michigan,12,6.5,0.5416666666666666,8,0.6666666666666666
2021,Tennessee,12,7.0,0.5833333333333334,6,0.5
2021,Bowling Green,11,4.0,0.36363636363636365,3,0.2727272727272727
2021,New Mexico State,11,1.5,0.13636363636363635,1,0.09090909090909091
2021,UTEP,12,6.5,0.5416666666666666,6,0.5
2021,Charlotte,11,2.5,0.22727272727272727,4,0.36363636363636365
2021,Duke,11,2.5,0.22727272727272727,2,0.18181818181818182
2021,Texas A&M,11,7.0,0.6363636363636364,7,0.6363636363636364
2021,Kent State,13,4.0,0.3076923076923077,6,0.46153846153846156
2021,Ole Miss,12,8.0,0.6666666666666666,9,0.75
2021,Louisville,12,6.0,0.5,5,0.4166666666666667
2021,Texas,12,6.5,0.5416666666666666,5,0.4166666666666667
2021,South Florida,11,2.5,0.22727272727272727,1,0.09090909090909091
2021,UAB,12,7.5,0.625,8,0.6666666666666666
2021,NC State,11,7.5,0.6818181818181818,8,0.7272727272727273
2021,East Carolina,11,6.0,0.5454545454545454,6,0.5454545454545454
2021,South Carolina,12,5.5,0.4583333333333333,6,0.5
2021,Pittsburgh,13,10.0,0.7692307692307693,10,0.7692307692307693
2021,Colorado,11,2.5,0.22727272727272727,3,0.2727272727272727
2021,Colorado State,11,4.5,0.4090909090909091,3,0.2727272727272727
2021,Vanderbilt,11,1.5,0.13636363636363635,2,0.18181818181818182
2021,Georgia Southern,11,3.0,0.2727272727272727,2,0.18181818181818182
2021,Penn State,12,7.0,0.5833333333333334,6,0.5
2021,Tulane,11,3.5,0.3181818181818182,1,0.09090909090909091
2021,Memphis,11,5.0,0.45454545454545453,5,0.45454545454545453
2021,New Mexico,11,2.5,0.22727272727272727,2,0.18181818181818182
2021,Stanford,12,3.5,0.2916666666666667,3,0.25
2021,Southern Miss,11,2.5,0.22727272727272727,2,0.18181818181818182
2021,Georgia State,13,7.0,0.5384615384615384,8,0.6153846153846154
2021,Boston College,11,5.5,0.5,5,0.45454545454545453
