team,proj_war,var,slots,unproven,sd,lo68,hi68,lo95,hi95
Tulane,2.0671589357985876,3.926115989640137,44,10,1.9814429059753746,0.08571602982321291,4.048601841773962,-1.8164691599131468,5.9507870315103215
Tulsa,2.3780041158020464,3.631816065460238,44,6,1.905732422314381,0.4722716934876654,4.283736538116427,-1.35723143193414,6.1132396635382324
UAB,1.332259266494113,1.9544925250037166,43,17,1.3980316609446715,-0.06577239445055838,2.7302909274387845,-1.4078827889574428,4.072401321945669
UCF,2.972209186251689,4.055522812458288,41,6,2.0138328660686535,0.9583763201830355,4.986042052320343,-0.9749032312428718,6.9193216037462495
UCLA,3.6726168381716735,3.802635674881191,43,4,1.9500347881207636,1.72258205005091,5.622651626292437,-0.1494513465450229,7.49468502288837
UConn,1.40039386633608,2.874034532548993,44,13,1.6952977710564574,-0.2949039047203774,3.0956916373925374,-1.9223897649345765,4.723177497606736
UL Monroe,1.2488711221688573,1.5985304382045256,25,5,1.2643300353169364,-0.015458913148079123,2.5132011574857938,-1.229215747052338,3.7269579913900523
UNLV,2.3188565487044936,3.8626695948848817,44,7,1.9653675470213916,0.35348900168310204,4.284224095725885,-1.533263843457434,6.170976940866421
USC,3.930731956640295,3.8092953347649186,44,6,1.9517416157793321,1.978990340860963,5.882473572419627,0.10531838971280427,7.7561455235677865
UTEP,1.213438444328397,1.6913370272608181,44,22,1.3005141395851174,-0.08707569525672043,2.5139525839135146,-1.3355692692584331,3.7624461579152273
UTSA,2.5589520039198015,3.378006621475845,44,11,1.8379354236413872,0.7210165802784143,4.396887427561189,-1.0434014264173173,6.161305434256921
Utah,3.870350675671203,3.77002233259914,43,4,1.941654534823108,1.9286961408480952,5.812005210494311,0.06470778741791161,7.675993563924495
Utah State,1.6683338559630725,2.5858637317638036,47,17,1.6080621044486445,0.060271751514427985,3.276395960411717,-1.4834678687562706,4.8201355806824155
Vanderbilt,3.6881267977568437,3.250348860448813,44,4,1.802872391615339,1.8852544061415046,5.490999189372182,0.15449691019077916,7.221756685322909
Virginia,3.7186700397200614,4.399251558219983,44,1,2.0974392859436914,1.62123075377637,5.816109325663753,-0.3923109607295734,7.829651040169696
Virginia Tech,3.2116613966215777,3.2329253357667325,44,4,1.7980337415540155,1.4136276550675622,5.009695138175593,-0.3124847368242927,6.735807530067448
Wake Forest,3.333664477466822,3.405836098342426,44,8,1.845490747292553,1.4881737301742688,5.179155224759375,-0.283497387226582,6.950826342160226
Washington,3.762133449373267,4.001326473745074,44,8,2.000331590948129,1.7618018584251378,5.762465040321397,-0.158516468885066,7.6827833676316
Washington State,1.6711312964827867,2.3888987131815513,44,14,1.5456062607215175,0.12552503576126917,3.216737557204304,-1.3582569745313875,4.700519567496961
West Virginia,1.9997029741522163,3.3743461913078425,45,12,1.8369393542814205,0.1627636198707958,3.836642328433637,-1.600698160239368,5.600104108543801
Western Kentucky,1.7353341208581987,3.035240243228316,42,10,1.7421940888512726,-0.006859967993073868,3.4775282097094715,-1.6793662932902953,5.150034535006693
Western Michigan,2.2265183090929703,2.672790535211726,44,17,1.6348671307515257,0.5916511783414447,3.8613854398444962,-0.9778212671800199,5.430857885365961
Wisconsin,3.125171128582883,3.7229205169144874,46,7,1.9294871123991701,1.1956840161837128,5.054658240982053,-0.6566236117194904,6.906965868885257
Wyoming,1.4955539487433973,1.9178032165486205,44,14,1.384847723234804,0.11070622550859333,2.880401671978201,-1.2187475887968184,4.2098554862836135
