team,roster_position,broad_group,group_source,bio_group,unit,depth,player,class,is_transfer,redshirt,projected_slot
BYU,DT,DT,label,DT,DEF,1,Keanu Tanuvasa,SR,True,True,2.0
BYU,NT,DT,label,DT,DEF,1,Justin Kirkland,SR,True,True,1.0
BYU,RDE,EDGE,label,EDGE,DEF,1,Nusi Taumoepeau,SO,False,False,2.0
BYU,LDE,EDGE,label,EDGE,DEF,1,Bodie Schoonover,SR,False,True,1.0
BYU,RB,RB,label,RB,OFF,1,LJ Martin,SR,False,False,1.0
BYU,QB,QB,label,QB,OFF,1,Bear Bachmeier,SO,False,False,1.0
South Alabama,RB,RB,label,RB,OFF,1,PJ Martin,JR,False,True,2.0
South Alabama,SS,SAF,label,SAF,DEF,1,DJ Moore,SR,True,True,1.0
South Alabama,NB,CB,bio,CB,DEF,1,Dallas Young,JR,True,True,6.0
South Alabama,FS,SAF,label,SAF,DEF,1,Cole Blaylock,JR,False,True,2.0
South Alabama,WLB,LB,label,LB,DEF,1,Parker Shattuck,JR,False,False,1.0
South Alabama,MLB,LB,label,LB,DEF,1,Seidrion Langston,SR,True,False,2.0
South Alabama,NT,DT,label,DT,DEF,1,Stephen Johnson,JR,True,True,1.0
South Alabama,DT,DT,label,EDGE,DEF,1,Andrew Hines,SO,True,False,2.0
BYU,NB,CB,default,,DEF,1,Jonathan Kabeya,JR,False,False,4.0
BYU,FS,SAF,label,SAF,DEF,1,Raider Damuni,SR,False,False,3.0
BYU,SS,SAF,label,SAF,DEF,1,Faletau Satuala,SO,False,True,2.0
BYU,ROVER,SAF,default,,DEF,1,Cade Uluave,SR,True,False,1.0
BYU,RCB,CB,label,CB,DEF,1,Therrian Alexander III,JR,False,False,2.0
BYU,LCB,CB,label,CB,DEF,1,Evan Johnson,SR,False,True,1.0
BYU,MLB,LB,label,LB,DEF,1,Siale Esera,JR,False,True,2.0
BYU,SLB,LB,label,LB,DEF,1,Isaiah Glasker,SR,False,True,1.0
South Alabama,WR-SL,WR,label,WR,OFF,1,Anthony Eager,JR,False,True,3.0
SMU,NB,SAF,bio,SAF,DEF,1,Jarvis Lee,SR,True,False,3.0
SMU,FS,SAF,label,SAF,DEF,1,Jimmy Wyrick,GR,True,False,2.0
SMU,SS,SAF,label,SAF,DEF,1,Tyren Polley Jr.,SO,False,False,1.0
South Alabama,QB,QB,label,QB,OFF,1,Bishop Davenport,SR,True,True,1.0
South Alabama,TE,TE,label,TE,OFF,1,Rod Gibbs,SR,True,False,1.0
South Alabama,RT,OT,label,,OFF,1,Ethan Hubbard,JR,True,True,5.0
South Alabama,RG,IOL,label,,OFF,1,Kenton Jerido,SR,False,True,3.0
South Alabama,LT,OT,label,,OFF,1,Jamal Siler,SO,True,True,2.0
South Alabama,LG,IOL,label,,OFF,1,Devin White,FR,False,True,6.0
South Alabama,WR-Z,WR,label,WR,OFF,1,Brendan Jenkins,SR,True,False,2.0
California,LT,OT,label,,OFF,1,Jacob Arop,SO,True,True,1.0
California,WR-SL,WR,label,WR,OFF,1,Cooper Perry,SO,True,False,3.0
California,WR-Z,WR,label,WR,OFF,1,Chase Hendricks,SR,True,False,2.0
California,WR-X,WR,label,WR,OFF,1,Ian Strong,SR,True,False,1.0
South Alabama,DE,EDGE,label,EDGE,DEF,1,Emmanuel Waller,SR,True,False,1.0
SMU,RB,RB,label,RB,OFF,1,Kendrick Raphael,SR,True,False,1.0
SMU,QB,QB,label,QB,OFF,1,Kevin Jennings,SR,False,True,1.0
SMU,TE,TE,label,TE,OFF,1,Theo Melin Ohrstrom,SR,True,True,1.0
SMU,RCB,CB,label,CB,DEF,1,Marcellus Barnes Jr.,SO,True,True,2.0
SMU,LCB,CB,label,CB,DEF,1,Jayvon Thomas,SR,True,False,1.0
SMU,MLB,LB,label,LB,DEF,1,Brandon Booker,JR,False,False,2.0
SMU,WLB,LB,label,LB,DEF,1,Alexander Kilgore,SR,False,False,1.0
SMU,RDT,DT,label,DT,DEF,1,David Chukwuemeka,JR,True,False,2.0
SMU,LDT,DT,label,,DEF,1,Malcolm Alcorn-Crowder,SR,True,True,1.0
California,QB,QB,label,QB,OFF,1,Jaron-Keawe Sagapolutele,SO,False,False,1.0
California,TE,TE,label,TE,OFF,1,Dorian Thomas,JR,True,True,1.0
California,RT,OT,label,,OFF,1,Jimothy Lewis Jr.,SO,True,True,5.0
California,RG,IOL,label,,OFF,1,Sioape Vatikani,SR,False,True,4.0
California,C,IOL,label,,OFF,1,Bastian Swinney,SR,False,True,3.0
California,LG,IOL,label,,OFF,1,Tyson Ruffins,JR,True,True,2.0
South Alabama,WR-X,WR,label,WR,OFF,1,Noah Toster,JR,True,True,7.0
San José State,NB,CB,default,,DEF,1,Kejuan Bullard Jr.,SR,False,True,3.0
San José State,FS,SAF,label,SAF,DEF,1,Pierce Walker,SO,True,True,2.0
SMU,RT,OT,label,,OFF,1,PJ Williams,SR,True,True,5.0
SMU,RG,IOL,label,,OFF,1,Addison Nichols,SR,True,True,4.0
SMU,C,IOL,label,,OFF,1,Joshua Bates,JR,True,True,3.0
SMU,LG,IOL,label,,OFF,1,Andrew Chamblee,SR,True,True,2.0
SMU,LT,OT,label,,OFF,1,Dramodd Odoms,FR,False,True,1.0
SMU,WR-SL,WR,label,WR,OFF,1,Yamir Knight,SR,True,False,3.0
California,MLB,LB,label,LB,DEF,1,Aaron Hampton,JR,False,False,2.0
California,WLB,LB,label,LB,DEF,1,Tristan Jernigan,SO,True,True,1.0
California,NT,DT,label,,DEF,1,Jericho Johnson,SO,True,True,1.0
California,RDE,EDGE,label,EDGE,DEF,1,Derek Wilkins,SR,False,True,2.0
California,LDE,EDGE,label,,DEF,1,Nate Burrell,SR,False,True,1.0
California,RB,RB,label,RB,OFF,1,Adam Mohammed,JR,True,False,1.0
SMU,RDE,EDGE,label,EDGE,DEF,1,Marques White,GR,True,False,2.0
SMU,LDE,EDGE,label,EDGE,DEF,1,Ira Singleton,JR,True,False,1.0
San José State,RG,IOL,label,,OFF,1,Daniel Moleni,SR,True,True,9.0
San José State,LT,OT,label,,OFF,1,Ikinasio Tupou,SO,True,True,6.0
San José State,LG,IOL,label,,OFF,1,Lavaka Taukeiaho,SR,True,True,2.0
San José State,RCB,CB,label,SAF,DEF,1,Maliki Crawford,JR,True,True,2.0
San José State,LCB,CB,label,CB,DEF,1,Runye Norton,SR,True,False,1.0
San José State,WLB,LB,label,LB,DEF,1,Brady Van Bennekum,JR,False,True,1.0
San José State,NT,DT,label,DT,DEF,1,Solomone Langi,SR,True,False,1.0
California,NB,CB,default,,DEF,1,Jasiah Wagoner,JR,True,True,3.0
California,FS,SAF,label,SAF,DEF,1,Isaiah Crosby,SR,True,True,2.0
California,SS,SAF,label,SAF,DEF,1,Aiden Manutai,SO,False,False,1.0
California,RCB,CB,label,CB,DEF,1,Ricky Fletcher,SR,True,True,2.0
California,LCB,CB,label,CB,DEF,1,Daniel Harris,SR,True,False,1.0
SMU,WR-Z,WR,label,WR,OFF,1,Yannick Smith,JR,True,False,2.0
SMU,WR-X,WR,label,WR,OFF,1,Jalen Cooper,SO,False,False,1.0
San José State,ROLB,LB,default,,DEF,1,Ethan Powell,SR,False,True,1.0
San José State,LOLB,LB,default,LB,DEF,1,Aizik Mahuka,JR,True,False,1.0
San Diego State,FS,SAF,label,SAF,DEF,1,Solomon Davis,JR,True,True,5.0
San Diego State,RCB,CB,label,CB,DEF,1,Caleb Ricks,SO,True,False,1.0
San Diego State,LCB,CB,label,CB,DEF,1,Jason Oliver,SR,True,True,3.0
San José State,C,IOL,label,,OFF,1,Joseph Harbert,SR,False,True,8.0
San José State,WR-Z,WR,label,WR,OFF,1,Malachi Riley,JR,True,True,5.0
San José State,WR-SL,WR,label,WR,OFF,1,Jerry McClure,JR,True,True,3.0
San Diego State,SS,SAF,label,SAF,DEF,1,Dalesean Staley,SR,False,False,10.0
Central Michigan,LG,IOL,label,,OFF,1,Dasan Smith,FR,False,True,2.0
Central Michigan,C,IOL,label,,OFF,1,Matthew Nehf,JR,False,True,5.0
Central Michigan,WR-Z,WR,label,WR,OFF,1,Langston Lewis,JR,False,True,2.0
Central Michigan,WR-X,WR,label,WR,OFF,1,Tommy McIntosh,JR,True,True,1.0
Central Michigan,WR-SL,WR,label,WR,OFF,1,Camden Kruisenga,FR,False,True,3.0
California,ROLB,LB,default,,DEF,1,Solomon Williams,SO,True,True,1.0
California,LOLB,LB,default,,DEF,1,Jayden Wayne,SR,True,False,1.0
San José State,QB,QB,label,QB,OFF,1,Luke Weaver,SR,True,True,1.0
San José State,RT,OT,label,,OFF,1,Tyler Chen,JR,True,True,1.0
San Diego State,TE,TE,label,TE,OFF,1,Jackson Ford,SO,True,True,1.0
San Diego State,RT,OT,label,,OFF,1,Dennis Jones,SR,True,True,5.0
San Diego State,WLB,LB,label,LB,DEF,1,Sione Hala,SR,True,True,1.0
San Diego State,MLB,LB,label,LB,DEF,1,Tano Letuli,SR,True,False,2.0
San Diego State,NT,DT,label,LB,DEF,1,Gavriel Lightfoot,SR,True,True,1.0
San Diego State,DT,DT,label,,DEF,1,Malachi Finau,SR,True,True,2.0
San Diego State,RDE,EDGE,label,EDGE,DEF,1,Kai Wallin,SR,True,True,2.0
Central Michigan,LDE,EDGE,label,,DEF,1,D.J. Bennett,SR,True,True,1.0
Central Michigan,FB,RB,label,RB,OFF,1,Rusty VanWetzinga IV,SO,True,True,1.0
Central Michigan,RB,RB,label,RB,OFF,1,Brock Townsend,FR,False,True,2.0
Central Michigan,QB,QB,label,QB,OFF,1,Angel Flores,JR,True,True,2.0
Central Michigan,TE,TE,label,,OFF,1,Henry Dryden,SR,True,True,1.0
Central Michigan,RT,OT,label,,OFF,1,Martin Koivisto,JR,False,True,4.0
Central Michigan,RG,IOL,label,,OFF,1,Brady Ploucha,JR,False,True,3.0
Central Michigan,LT,OT,label,,OFF,1,Jacob Russell,SO,True,True,1.0
San Diego State,NB,CB,bio,SAF,DEF,1,Jalen Thomeson,SR,True,False,6.0
San Diego State,RG,IOL,label,,OFF,1,Kalan Ellis,SR,True,True,2.0
San Diego State,LT,OT,label,,OFF,1,Joseph Borjon,SR,True,True,1.0
San Diego State,LG,IOL,label,,OFF,1,Evan Lawrence,SO,True,True,7.0
San Diego State,C,IOL,label,,OFF,1,Michael Levelle Watkins,SO,True,True,4.0
San Diego State,WR-Z,WR,label,WR,OFF,1,Donovan Brown,SR,True,False,8.0
Central Michigan,NB,CB,bio,CB,DEF,1,Jaion Jackson,SO,False,False,3.0
Central Michigan,FS,SAF,label,,DEF,1,Elijah Rikard,SR,False,True,2.0
Central Michigan,RCB,CB,label,,DEF,1,Kyle Krebs,JR,False,True,2.0
Central Michigan,LCB,CB,label,,DEF,1,Aakeem Snell,SR,True,True,1.0
Central Michigan,WLB,LB,label,,DEF,1,Lawai'a Brown,SR,False,True,1.0
Central Michigan,MLB,LB,label,LB,DEF,1,Victor Earl,FR,False,True,4.0
Central Michigan,NT,DT,label,DT,DEF,1,Quavion Bird,FR,False,True,2.0
Central Michigan,RDE,EDGE,label,EDGE,DEF,1,JJ Douglas,FR,False,False,5.0
San Diego State,LDE,EDGE,label,EDGE,DEF,1,Brady Nassar,SR,False,False,1.0
San Diego State,RB,RB,label,RB,OFF,1,Lucky Sutton,SR,False,True,1.0
San Diego State,QB,QB,label,QB,OFF,1,Jayden Denegal,SR,True,True,1.0
Sam Houston,NT,DT,label,DT,DEF,1,Darien Jackson,JR,True,True,1.0
San Diego State,WR-X,WR,label,WR,OFF,1,Jacob Bostick,SR,True,True,1.0
San Diego State,WR-SL,WR,label,WR,OFF,1,Jordan Napier,JR,False,True,3.0
Sam Houston,NB,CB,default,,DEF,1,Jace Arnold,JR,True,True,3.0
Sam Houston,FS,SAF,label,SAF,DEF,1,Jaylon Jones,JR,True,False,2.0
Sam Houston,SS,SAF,label,SAF,DEF,1,Tyler Bailey,SR,False,True,1.0
Sam Houston,RCB,CB,label,CB,DEF,1,Caesar Magee,GR,True,False,2.0
Sam Houston,LCB,CB,label,CB,DEF,1,Ishmel Atkins,SR,True,True,1.0
Charlotte,LG,IOL,label,,OFF,1,Luke Sandy,SR,True,True,2.0
Charlotte,LT,OT,label,,OFF,1,J'Ven Williams,JR,True,True,1.0
Charlotte,WR-SL,WR,label,WR,OFF,1,Derrick Eley,SO,False,True,3.0
Charlotte,WR-Z,WR,label,WR,OFF,1,Jaylen Hampton,SO,True,True,2.0
Charlotte,WR-X,WR,label,WR,OFF,1,Jaden Barnes,SR,True,False,1.0
Central Michigan,ROLB,LB,default,LB,DEF,1,Xavier White,SO,False,False,2.0
Central Michigan,LOLB,LB,default,,DEF,1,Korver Demma,SO,True,True,1.0
Central Michigan,SS,SAF,label,,DEF,1,Caleb Spann,SR,False,True,1.0
Sam Houston,RG,IOL,label,,OFF,1,Elijah Collins,JR,True,False,4.0
Sam Houston,C,IOL,label,,OFF,1,Josiah Chenault,JR,True,True,3.0
Sam Houston,LG,IOL,label,,OFF,1,Brock Stukes,JR,True,True,2.0
Sam Houston,LT,OT,label,,OFF,1,Denell Nix Jr.,SO,True,False,1.0
Sam Houston,RDE,EDGE,label,EDGE,DEF,1,Chauncey Chidi,SR,True,True,2.0
Sam Houston,LDE,EDGE,label,EDGE,DEF,1,Josh Alexander-Felton,SO,True,True,1.0
Sam Houston,RB,RB,label,RB,OFF,1,Landan Brown,JR,False,True,1.0
Sam Houston,QB,QB,label,QB,OFF,1,Landyn Locke,SO,False,False,1.0
Charlotte,QB,QB,label,QB,OFF,1,Cole Gonzales,SR,True,True,1.0
Charlotte,TE,TE,label,TE,OFF,1,Gus McGee,GR,True,False,1.0
Charlotte,RT,OT,label,,OFF,1,Kristos Fernandez,GR,True,False,5.0
Charlotte,RG,IOL,label,,OFF,1,Rod Green,SR,True,True,4.0
Charlotte,C,IOL,label,,OFF,1,Nic Cruji,SR,True,True,3.0
Sam Houston,MLB,LB,label,LB,DEF,1,Dean Ford,SO,False,True,2.0
Sam Houston,WLB,LB,label,LB,DEF,1,Brian Bates Jr.,JR,True,True,1.0
Sam Houston,DT,DT,label,DT,DEF,1,Dylan Frazier,SR,True,True,2.0
Sacramento State,NT,DT,label,DT,DEF,1,Jamel Howard,JR,True,True,1.0
Sam Houston,WR-SL,WR,label,WR,OFF,1,Grady O'Neill,SR,True,True,3.0
Sam Houston,WR-Z,WR,label,WR,OFF,1,Chris Reed,SR,True,True,2.0
Sam Houston,WR-X,WR,label,WR,OFF,1,Tim Burns Jr.,SR,True,False,1.0
Sacramento State,NB,CB,bio,CB,DEF,1,Donovan Turner,SR,True,True,3.0
Sacramento State,FS,SAF,label,SAF,DEF,1,Noah King,FR,True,True,2.0
Sacramento State,SS,SAF,label,SAF,DEF,1,Boogsie Silvera,SR,True,True,1.0
Charlotte,MLB,LB,label,LB,DEF,1,Gavin Willis,SR,True,False,2.0
Charlotte,WLB,LB,label,LB,DEF,1,Kadin Schmitz,SR,True,False,1.0
Charlotte,DT,DT,label,DT,DEF,1,Jamarrion Solomon,SR,True,True,2.0
Charlotte,NT,DT,label,DT,DEF,1,Macyo Williams,GR,True,False,1.0
Charlotte,RDE,EDGE,label,EDGE,DEF,1,Jaylon Johnson,SR,True,False,2.0
Charlotte,LDE,EDGE,label,EDGE,DEF,1,DJ Burgess,SR,True,True,1.0
Charlotte,RB,RB,label,RB,OFF,1,Jariel Cobb,SO,False,False,1.0
Sam Houston,TE,TE,label,TE,OFF,1,Max Whisner,SR,True,True,1.0
Sam Houston,RT,OT,label,,OFF,1,Carter Kadow,SO,True,True,5.0
Sacramento State,RUSH,EDGE,default,,DEF,1,Fata Puloka,JR,False,True,2.0
Sacramento State,DE,EDGE,label,EDGE,DEF,1,Xavier Williams,SR,False,True,1.0
Sacramento State,RB,RB,label,RB,OFF,1,Davion Godley,JR,True,False,1.0
Sacramento State,QB,QB,label,QB,OFF,1,Carson Conklin,JR,True,False,1.0
Sacramento State,TE,TE,label,TE,OFF,1,Jordan Williams,SR,True,True,1.0
Cincinnati,WR-SL,WR,label,WR,OFF,1,Isaiah Johnson,JR,True,False,3.0
Charlotte,NB,CB,default,,DEF,1,Collin Gill,JR,True,True,3.0
Charlotte,FS,SAF,label,SAF,DEF,1,Dy'Lon Womack,SO,False,False,2.0
Charlotte,SS,SAF,label,SAF,DEF,1,Shamar McIntosh,SO,True,True,1.0
Charlotte,RCB,CB,label,CB,DEF,1,CJ Clinkscales Jr.,SR,True,True,2.0
Charlotte,LCB,CB,label,CB,DEF,1,Jameel Croft Jr.,JR,True,True,1.0
Sacramento State,RCB,CB,label,CB,DEF,1,Amari Wallace,FR,True,True,2.0
Sacramento State,LCB,CB,label,CB,DEF,1,Dionte Thornton,SR,True,True,1.0
Sacramento State,MLB,LB,label,LB,DEF,1,Derek Houston,JR,False,True,2.0
Sacramento State,WLB,LB,label,LB,DEF,1,Alex Rocha,SR,False,True,1.0
Sacramento State,DT,DT,label,DT,DEF,1,Nick Dimitris,SR,True,True,2.0
Rutgers,SS,SAF,label,SAF,DEF,1,Kaj Sanders,JR,False,False,1.0
Rutgers,RCB,CB,label,CB,DEF,1,Kevin Levy,SO,False,True,2.0
Rutgers,LCB,CB,label,CB,DEF,1,Mikey Munn,JR,True,False,1.0
Sacramento State,RT,OT,label,,OFF,1,Garrison Blank,FR,True,True,5.0
Sacramento State,RG,IOL,label,,OFF,1,Vae Soifua,SR,True,True,4.0
Sacramento State,C,IOL,label,,OFF,1,Bryson Summers,SR,True,True,3.0
Sacramento State,LG,IOL,label,,OFF,1,Jamin Guilbert,JR,True,False,2.0
Sacramento State,LT,OT,label,,OFF,1,Shontrail Key,SR,True,True,1.0
Cincinnati,TE,TE,label,TE,OFF,1,Gavin Grover,JR,False,False,1.0
Cincinnati,RT,OT,label,,OFF,1,Judea Milon,SR,True,True,6.0
Cincinnati,RG,IOL,label,,OFF,1,Xavier Lozowicki,JR,True,True,3.0
Cincinnati,LT,OT,label,,OFF,1,Joe Cotton,SR,True,True,1.0
Cincinnati,LG,IOL,label,,OFF,1,Evan Tengesdahl,JR,False,True,2.0
Cincinnati,C,IOL,label,,OFF,1,Taran Tyo,SR,True,True,4.0
Cincinnati,WR-Z,WR,label,WR,OFF,1,Malachi Henry,JR,True,True,2.0
Cincinnati,WR-X,WR,label,,OFF,1,JV Gibson,SR,True,True,1.0
Rutgers,QB,QB,label,QB,OFF,1,AJ Surace,SO,False,True,1.0
Rutgers,TE,TE,label,TE,OFF,1,Logan Blake,JR,False,True,1.0
Rutgers,MLB,LB,label,LB,DEF,1,Ty Morris,SR,True,False,2.0
Rutgers,WLB,LB,label,LB,DEF,1,Sean Allison,SR,True,True,1.0
Rutgers,DT,DT,label,DT,DEF,1,Zaire Angoy,SR,False,True,2.0
Rutgers,NT,DT,label,DT,DEF,1,Doug Blue-Eli,SR,True,True,1.0
Cincinnati,NT,DT,label,DT,DEF,1,Elijah Gunn,JR,True,True,1.0
Cincinnati,DT,DT,label,DT,DEF,1,Cam Roetherford,SR,True,True,2.0
Cincinnati,DE,EDGE,label,EDGE,DEF,1,Marquaze Parker,JR,False,False,1.0
Cincinnati,RB,RB,label,RB,OFF,1,Zion Johnson,FR,False,True,1.0
Cincinnati,QB,QB,label,QB,OFF,1,JC French IV,SR,True,True,1.0
Sacramento State,WR-SL,WR,label,WR,OFF,1,Raiden Brown,JR,True,True,3.0
Sacramento State,WR-Z,WR,label,WR,OFF,1,Matt Coleman,SR,True,True,2.0
Sacramento State,WR-X,WR,label,WR,OFF,1,Jace Wilson,SR,True,True,1.0
Rutgers,STUD,SAF,bio,,DEF,1,DK Gilley,SO,False,True,1.0
Rutgers,FS,SAF,label,SAF,DEF,1,Chris Joines,SR,True,False,2.0
Rice,LCB,CB,label,CB,DEF,1,Jerrick Harper,SR,True,False,1.0
Rutgers,RT,OT,label,,OFF,1,Tyler Needham,SR,False,True,5.0
Rutgers,RG,IOL,label,,OFF,1,Kwabena Asamoah,SR,False,True,4.0
Rutgers,C,IOL,label,,OFF,1,Terrence Salami,SR,False,True,3.0
Rutgers,LG,IOL,label,,OFF,1,Dantae Chin,SR,False,True,2.0
Rutgers,LT,OT,label,,OFF,1,Moshood Giwa,JR,True,True,1.0
Rutgers,WR-SL,WR,label,WR,OFF,1,Jourdin Houston,FR,False,True,3.0
Rutgers,WR-Z,WR,label,WR,OFF,1,Ben Black,JR,False,False,2.0
Cincinnati,FS,SAF,label,SAF,DEF,1,Jasper Beeler,SR,True,False,2.0
Cincinnati,RCB,CB,label,CB,DEF,1,Jacob Finley,SR,True,True,2.0
Cincinnati,LCB,CB,label,CB,DEF,1,Daniel James,SO,False,True,1.0
Cincinnati,WLB,LB,label,LB,DEF,1,Jonathan Thompson,SR,False,True,1.0
Cincinnati,MLB,LB,label,LB,DEF,1,Filip Maciorowski,JR,True,True,2.0
Rutgers,RDE,EDGE,label,EDGE,DEF,1,J'Dan Burnett,SR,True,True,2.0
Rutgers,LDE,EDGE,label,EDGE,DEF,1,Malachi Davis,SR,True,True,1.0
Rutgers,RB,RB,label,RB,OFF,1,Antwan Raymond,JR,False,False,1.0
Rice,LT,OT,label,,OFF,1,Luke Needham,JR,False,True,1.0
Rice,LG,IOL,label,,OFF,1,Patrick Valent,SR,False,True,2.0
Rice,WLB,LB,label,LB,DEF,1,Cooper King,JR,False,True,1.0
Rice,MLB,LB,label,LB,DEF,1,Jesus Machado Jr.,GR,True,False,2.0
Rice,NT,DT,label,DT,DEF,1,Aquantis Clemmons,JR,False,True,1.0
Rice,DT,DT,label,DT,DEF,1,Dillan Botts,SR,True,False,2.0
Rice,RUSH,EDGE,default,,DEF,1,Chibby Nwajuaku,SR,False,True,2.0
Rice,DE,EDGE,label,EDGE,DEF,1,Joseph Mutombo,JR,False,True,1.0
Clemson,WR-SL,WR,label,WR,OFF,1,Naeem Burroughs,FR,False,False,3.0
Cincinnati,CAT,SAF,bio,SAF,DEF,1,Antwan Peek Jr.,SR,False,True,1.0
Cincinnati,DOG,EDGE,bio,EDGE,DEF,1,Thomas Johnson,SR,True,True,1.0
Rutgers,WR-X,WR,label,WR,OFF,1,KJ Duff,JR,False,False,1.0
Rice,VIPER,EDGE,default,,DEF,1,Jo Chavez,JR,True,False,1.0
Rice,SS,SAF,label,SAF,DEF,1,Daveon Hook,GR,False,False,1.0
Rice,FS,SAF,label,SAF,DEF,1,Koa Akui,SR,True,True,2.0
Rice,RCB,CB,label,CB,DEF,1,Tariq Watson,SR,True,True,2.0
Purdue,MLB,LB,label,LB,DEF,1,Jojo Hayden,JR,True,True,2.0
Purdue,WLB,LB,label,LB,DEF,1,Charles Correa,JR,True,False,1.0
Rice,C,IOL,label,,OFF,1,Scott Becker,SR,True,True,3.0
Rice,WR-Z,WR,label,WR,OFF,1,Braylen Walker,SR,False,True,2.0
Rice,WR-X,WR,label,,OFF,1,Payton Matthews,SO,False,False,1.0
Rice,WR-SL,WR,label,WR,OFF,1,Davis Lane,SR,True,True,3.0
Clemson,LT,OT,label,,OFF,1,Brayden Jacobs,SO,False,False,1.0
Clemson,LG,IOL,label,,OFF,1,Elyjah Thurmon,SO,False,True,2.0
Clemson,C,IOL,label,,OFF,1,Harris Sewell,SR,False,False,3.0
Clemson,WR-Z,WR,label,WR,OFF,1,T.J. Moore,JR,False,False,2.0
Clemson,WR-X,WR,label,WR,OFF,1,Bryant Wesco Jr.,JR,False,False,1.0
Rice,RB,RB,label,RB,OFF,1,Quinton Jackson,SR,False,True,1.0
Rice,QB,QB,label,QB,OFF,1,Jacurri Brown,SR,True,True,1.0
Rice,TE,TE,label,TE,OFF,1,James Falk,JR,False,True,1.0
Rice,RT,OT,label,,OFF,1,Luke Miller,SO,False,True,5.0
Rice,RG,IOL,label,,OFF,1,Cole Principe,SO,False,False,4.0
Purdue,DT,DT,label,DT,DEF,1,Rodney Lora,JR,True,True,2.0
Purdue,NT,DT,label,DT,DEF,1,Ian Jeffries,JR,True,True,1.0
Purdue,RUSH,EDGE,default,,DEF,1,Elo Modozie,SR,True,False,2.0
Purdue,DE,EDGE,label,EDGE,DEF,1,CJ Madden,SR,True,True,1.0
Purdue,RB,RB,label,RB,OFF,1,Fame Ijeboi,SO,True,True,1.0
Purdue,QB,QB,label,QB,OFF,1,Ryan Browne,JR,False,True,1.0
Clemson,RB,RB,label,RB,OFF,1,Gideon Davidson,SO,False,False,1.0
Clemson,QB,QB,label,QB,OFF,1,Christopher Vizzina,JR,False,True,1.0
Clemson,TE,TE,label,TE,OFF,1,Christian Bentancur,SO,False,True,1.0
Clemson,RT,OT,label,,OFF,1,Easton Ware,FR,False,True,5.0
Clemson,RG,IOL,label,,OFF,1,Ronan O'Connell,SO,False,True,4.0
Purdue,NB,SAF,bio,,DEF,1,Mister Clark,JR,True,True,3.0
Purdue,FS,SAF,label,SAF,DEF,1,Jaden Mangham,SR,True,True,2.0
Purdue,SS,SAF,label,SAF,DEF,1,John Slaughter,SR,True,False,1.0
Purdue,RCB,CB,label,CB,DEF,1,Hudauri Hines,JR,False,False,2.0
Purdue,LCB,CB,label,CB,DEF,1,Ryan Turner,SR,True,True,1.0
Purdue,WR-SL,WR,label,WR,OFF,1,Asaad Waseem,JR,True,True,3.0
Purdue,WR-Z,WR,label,WR,OFF,1,Bisi Owens,SR,True,True,2.0
Purdue,WR-X,WR,label,,OFF,1,Xavier Townsend,SR,True,True,1.0
Pittsburgh,MONEY,SAF,bio,SAF,DEF,1,Alex Sanford Jr.,SR,True,False,1.0
Pittsburgh,FS,SAF,label,SAF,DEF,1,Cruce Brookins,JR,False,True,3.0
Pittsburgh,SS,SAF,label,SAF,DEF,1,Josh Guerrier,SO,False,False,2.0
Purdue,TE,TE,label,TE,OFF,1,George Burhenn,JR,False,True,1.0
Purdue,RT,OT,label,,OFF,1,Nuku Mafi,SO,True,True,5.0
Purdue,RG,IOL,label,,OFF,1,Marques Easley,SO,True,True,4.0
Purdue,C,IOL,label,,OFF,1,Boaz Stanley,SR,True,True,3.0
Purdue,LG,IOL,label,,OFF,1,Micah Banuelos,JR,True,True,2.0
Purdue,LT,OT,label,,OFF,1,Joey Tanona,SR,True,True,1.0
Clemson,RDT,DT,label,DT,DEF,1,Amare Adams,SO,False,False,2.0
Clemson,LDT,DT,label,DT,DEF,1,Vic Burley,JR,False,True,1.0
Clemson,RDE,EDGE,label,EDGE,DEF,1,Will Heldt,SR,True,False,2.0
Clemson,LDE,EDGE,label,EDGE,DEF,1,Jahiem Lawson,SR,False,True,1.0
Pittsburgh,LDE,EDGE,label,EDGE,DEF,1,Isaiah Neal,JR,False,True,1.0
Pittsburgh,RB,RB,label,RB,OFF,1,Ja'Kyrian Turner,SO,False,False,1.0
Pittsburgh,QB,QB,label,QB,OFF,1,Mason Heintschel,SO,False,False,1.0
Pittsburgh,TE,TE,label,TE,OFF,1,Carson Kent,SR,True,True,1.0
Pittsburgh,STAR,CB,default,,DEF,1,Cameron Lindsey,SO,False,True,1.0
Pittsburgh,RCB,CB,label,CB,DEF,1,Raion Strader,SR,True,False,2.0
Pittsburgh,LCB,CB,label,CB,DEF,1,Shadarian Harrison,JR,False,True,1.0
Pittsburgh,MLB,LB,label,LB,DEF,1,Braylan Lovelace,SR,False,False,1.0
Pittsburgh,DT,DT,label,DT,DEF,1,Sean FitzSimmons,SR,False,True,2.0
Pittsburgh,NT,DT,label,DT,DEF,1,Nick James,SR,True,True,1.0
Clemson,NB,SAF,bio,,DEF,1,Corian Gipson,SO,False,True,3.0
Clemson,FS,SAF,label,SAF,DEF,1,Corey Myrick,JR,True,False,2.0
Clemson,RCB,CB,label,CB,DEF,1,Ashton Hampton,JR,False,False,2.0
Clemson,LCB,CB,label,CB,DEF,1,Elliot Washington II,SR,True,False,1.0
