team,roster_position,broad_group,group_source,bio_group,unit,depth,player,class,is_transfer,redshirt,projected_slot
Army,QB,QB,label,QB,OFF,3,Zach Mundell,SR,False,False,3.0
Army,RB-B,RB,label,RB,OFF,3,Stroman Bridges,SO,False,False,7.0
UCLA,WR-SL,WR,label,,OFF,3,Jackson Meehan,SR,True,True,8.0
Kansas,LT,OT,label,,OFF,3,DeAndre Harper,SO,True,True,11.0
Kansas,LG,IOL,label,,OFF,3,Eli Richmond,SO,False,True,12.0
James Madison,RCB,CB,label,CB,DEF,3,Trey Gibson,FR,False,False,5.0
James Madison,SS,SAF,label,SAF,DEF,3,Terrence Jones,JR,True,False,6.0
James Madison,FS,SAF,label,SAF,DEF,3,Chase Regan,JR,False,False,7.0
Arkansas State,MLB,LB,label,LB,DEF,3,Joshua Ofor,SO,True,True,6.0
Arkansas State,LCB,CB,label,CB,DEF,3,Jaylen Heyward,SO,True,True,5.0
UCLA,FS,SAF,label,SAF,DEF,3,Aaron Williams,JR,True,True,7.0
UConn,WR-X,WR,label,WR,OFF,3,Zy'marion Lang,SO,True,True,7.0
UConn,WR-Z,WR,label,WR,OFF,3,Emanuel Ross,SO,True,True,8.0
UConn,WR-SL,WR,label,WR,OFF,3,Julian Allen,JR,True,True,9.0
Arkansas State,FS,SAF,label,SAF,DEF,3,Malik McConico,JR,True,True,8.0
Arkansas State,NB,SAF,bio,SAF,DEF,3,Five Hamilton,JR,True,True,9.0
UCLA,TE,TE,label,TE,OFF,3,Harry Lodge,SR,True,True,3.0
Wyoming,WR-X,WR,label,WR,OFF,3,Ke'Lyn Washom,FR,False,True,7.0
Wyoming,WR-SL,WR,label,WR,OFF,3,Jayden Williams,FR,False,False,8.0
Air Force,QB,QB,label,QB,OFF,3,Evan Medders,SO,False,False,3.0
Air Force,RB,RB,label,WR,OFF,3,Keegan Sack,SO,False,False,3.0
Jacksonville State,WLB,LB,label,LB,DEF,3,Mikey Rosa,JR,True,True,5.0
Jacksonville State,MLB,LB,label,LB,DEF,3,Aidan Thompson,JR,False,True,6.0
Jacksonville State,LCB,CB,label,CB,DEF,3,Keiyon Turner,SR,True,True,5.0
James Madison,LDE,EDGE,label,EDGE,DEF,3,Ernest Willor Jr.,SO,True,True,5.0
James Madison,RDE,EDGE,label,EDGE,DEF,3,Turner Schmidt,SO,True,True,6.0
James Madison,LDT,DT,label,DT,DEF,3,Jakolbi Wilson,SR,True,True,5.0
James Madison,RDT,DT,label,DT,DEF,3,Chukwunedu Okeke,SO,True,True,6.0
James Madison,LT,OT,label,,OFF,3,Kaedin Massey,SO,False,True,11.0
James Madison,TE,TE,label,TE,OFF,3,Thatcher Miller,SR,True,True,3.0
James Madison,QB,QB,label,QB,OFF,3,Arrington Maiden,SO,True,True,3.0
James Madison,RB,RB,label,RB,OFF,3,Seth Cromwell,SR,True,True,3.0
UCLA,LDE,EDGE,label,EDGE,DEF,3,Lucien Holland,FR,False,True,5.0
UCLA,RDE,EDGE,label,EDGE,DEF,3,Jewelous Walls,SO,False,False,6.0
UCLA,LDT,DT,label,LB,DEF,3,Gavin Blum,SO,True,False,5.0
UCLA,RDT,DT,label,DT,DEF,3,Ashton Sanders,JR,True,True,6.0
Arkansas State,SS,SAF,label,SAF,DEF,3,James Reed III,SR,False,True,7.0
Arkansas State,WLB,LB,label,LB,DEF,3,Keoni Denny,JR,True,True,5.0
Air Force,WR-X,WR,label,WR,OFF,3,Grant Wayne,SR,False,False,6.0
Air Force,WR-Z,WR,label,WR,OFF,3,Owen Chambers,SR,False,False,7.0
Air Force,C,IOL,label,,OFF,3,Gary Lassley,SO,False,False,13.0
UCLA,WLB,LB,label,LB,DEF,3,Scott Taylor,SO,False,False,5.0
UCLA,MLB,LB,label,LB,DEF,3,Anthony Sacca,FR,True,True,6.0
UCLA,LCB,CB,label,CB,DEF,3,Jhase McMillan,SO,True,True,5.0
UCLA,RCB,CB,label,CB,DEF,3,Jamier Johnson,SR,True,True,6.0
UCLA,SS,SAF,label,SAF,DEF,3,Mason Rivera,,False,False,6.0
Wyoming,LDT,DT,label,LB,DEF,3,Ja'Quan Redfern,JR,True,True,5.0
Wyoming,RDT,DT,label,DT,DEF,3,Alex Haswell,SO,False,True,6.0
Wyoming,WLB,LB,label,LB,DEF,3,Parker Moore,FR,False,True,5.0
Wyoming,RG,IOL,label,,OFF,3,Grant Lott,FR,False,False,11.0
Wyoming,TE-Y,TE,label,TE,OFF,3,Landon Pace,FR,False,True,3.0
Wyoming,QB,QB,label,QB,OFF,3,Landon Sims,JR,True,True,3.0
Wyoming,RB,RB,label,RB,OFF,3,Nico Hamilton,SO,False,True,3.0
James Madison,WR-X,WR,label,WR,OFF,3,Davi Belfort,SO,True,True,7.0
James Madison,WR-Z,WR,label,WR,OFF,3,Dylan Williams,SO,False,True,8.0
James Madison,WR-SL,WR,label,WR,OFF,3,Noah Grevious,SO,True,True,9.0
Air Force,LT,OT,label,,OFF,3,Alex Boyd,SO,False,False,11.0
Wyoming,SS,SAF,label,SAF,DEF,3,Da'Marion Brownlee,SO,True,True,7.0
Wyoming,NB,CB,bio,CB,DEF,3,Therman Williams,FR,False,False,8.0
James Madison,TE,TE,label,TE,OFF,4,Brian Hnat,FR,False,True,4.0
James Madison,WLB,LB,label,LB,DEF,4,Lathan Croley,JR,False,False,5.0
Jacksonville State,LCB,CB,label,CB,DEF,4,Tim Anthony,FR,False,False,6.0
UCLA,QB,QB,label,QB,OFF,4,Ty Dieffenbach,,False,False,4.0
UCLA,TE,TE,label,TE,OFF,4,Noah Fox-Flores,SO,False,False,4.0
Arkansas State,LCB,CB,label,SAF,DEF,4,Paul Risper,,False,False,6.0
Arkansas State,WLB,LB,label,LB,DEF,4,Noah Hamlin,FR,False,False,7.0
UCLA,LDE,EDGE,label,EDGE,DEF,4,Cole Cogshell,SO,False,False,7.0
UCLA,LCB,CB,label,CB,DEF,4,Osiris Gilbert,SO,False,False,7.0
UCLA,WLB,LB,label,LB,DEF,4,Wyatt Mosier,,False,False,7.0
UConn,WR-SL,WR,label,WR,OFF,4,Teddy Williams,JR,False,True,12.0
UConn,WR-Z,WR,label,WR,OFF,4,Drew Kron,JR,False,True,11.0
UConn,WR-X,WR,label,WR,OFF,4,Kamren Flowers,FR,True,True,10.0
Air Force,C,IOL,label,,OFF,4,Peyton Knoebel,JR,False,False,16.0
Nebraska,QB,QB,label,QB,OFF,4,Bode Soukup,SO,False,True,4.0
Alabama,WOLF,EDGE,default,,DEF,4,Jamarion Matthews,FR,False,False,4.0
UConn,LT,OT,label,,OFF,4,Owen Winder,FR,False,False,15.0
UConn,RB,RB,label,RB,OFF,4,Trey Cornist,JR,True,True,4.0
UCF,WR-Z,WR,label,WR,OFF,4,Tyren Hornes,FR,False,False,9.0
UCF,QB,QB,label,QB,OFF,4,Rocco Marriott,FR,False,False,4.0
UCF,TE,TE,label,TE,OFF,4,Dylan Burk,SO,False,False,4.0
UCF,DT,DT,label,DT,DEF,4,Jeffson Lafontant,JR,False,True,7.0
Auburn,WR-Z,WR,label,WR,OFF,4,Brady Marchese,FR,False,False,11.0
Auburn,WR-X,WR,label,WR,OFF,4,Kory Pettigrew,FR,True,True,10.0
UCLA,C,IOL,label,,OFF,4,Caleb Walker,,False,False,15.0
UCLA,RB,RB,label,RB,OFF,4,Dylan Lee,,False,False,4.0
Air Force,WR-Z,WR,label,WR,OFF,4,Sylas Maiava-Alaimalo,SO,False,False,9.0
Air Force,WR-X,WR,label,SAF,OFF,4,Jet Wiley,SR,False,False,8.0
Wyoming,MLB,LB,label,LB,DEF,4,Karson Butts,SO,True,False,7.0
Jacksonville State,FS,SAF,label,SAF,DEF,4,Ty Sims,FR,False,False,7.0
Wyoming,RDE,EDGE,label,EDGE,DEF,4,Xavier Jackson,FR,False,False,6.0
James Madison,QB,QB,label,QB,OFF,4,Tanner Vibabul,FR,False,False,4.0
UAB,WR-X,WR,label,WR,OFF,4,Jayden Skelton,FR,False,False,10.0
UAB,RB,RB,label,RB,OFF,4,Marquise Collins,JR,True,True,4.0
UAB,QB,QB,label,QB,OFF,4,Cam Jennings,SO,False,True,3.0
Auburn,RB,RB,label,RB,OFF,4,Nykahi Davenport,SO,True,True,4.0
Jacksonville State,RB,RB,label,RB,OFF,4,Jalen Likely,SO,False,True,4.0
Jacksonville State,QB,QB,label,QB,OFF,4,Donovan Moorhead,FR,False,False,4.0
Wisconsin,LOLB,LB,default,LB,DEF,4,Jayden Loftin,FR,False,True,4.0
Wisconsin,NB,CB,bio,CB,DEF,4,Kah'ni Watts,FR,False,False,9.0
Air Force,DE,EDGE,label,EDGE,DEF,4,DeSean Davis,JR,False,False,7.0
Air Force,FB,RB,label,RB,OFF,4,Luke Rauh,JR,False,False,4.0
Air Force,RB,RB,label,WR,OFF,4,Mason Lowe,JR,False,False,4.0
Kansas State,WR-X,WR,label,WR,OFF,4,Julius Wilson,FR,False,False,10.0
Kansas State,QB,QB,label,QB,OFF,4,Dillon Duff,FR,False,True,4.0
Jacksonville State,LG,IOL,label,,OFF,4,Max Shiver,FR,False,False,15.0
Auburn,QB,QB,label,QB,OFF,4,Rhys Brush,FR,False,False,4.0
UConn,QB,QB,label,QB,OFF,4,Tyler Smith,FR,False,True,4.0
Kansas State,LDE,EDGE,label,EDGE,DEF,4,Tucker Ashford,FR,False,False,7.0
Jacksonville State,WR-SL,WR,label,WR,OFF,4,Rollie Pinto,FR,False,False,10.0
Air Force,OLB,EDGE,bio,,DEF,4,Connor Vasek,SO,False,False,8.0
Iowa State,SS,SAF,label,SAF,DEF,4,Brody Miller,FR,False,True,8.0
Kansas State,SS,SAF,label,SAF,DEF,4,Mikey Bergeron,JR,False,False,9.0
Iowa State,RCB,CB,label,CB,DEF,4,Toe Sanders,FR,False,False,6.0
Iowa State,MLB,LB,label,LB,DEF,4,Landon Kalsbeck,FR,False,False,9.0
Kennesaw State,RB,RB,label,RB,OFF,4,Devin Ingram,SO,True,True,4.0
Kennesaw State,QB,QB,label,QB,OFF,4,Jamarcus Harrison,FR,False,False,4.0
Kennesaw State,TE,TE,label,TE,OFF,4,Chase Tatum,FR,False,False,4.0
Kennesaw State,RUSH,EDGE,default,LB,DEF,4,Byron Jackson,FR,False,True,7.0
