team,season,games,wins,win_pct,margin_pg,pf_pg,pa_pg,conference
Arizona,2018,12,5,0.4166666666666667,-1.25,31.333333333333332,32.583333333333336,PAC
Arizona,2019,12,4,0.3333333333333333,-8.833333333333334,26.916666666666668,35.75,PAC
Arizona,2021,12,1,0.08333333333333333,-14.25,17.166666666666668,31.416666666666668,PAC
Arizona,2022,12,5,0.4166666666666667,-5.666666666666667,30.833333333333332,36.5,PAC
Arizona,2023,13,10,0.7692307692307693,13.538461538461538,34.61538461538461,21.076923076923077,PAC
Arizona,2024,12,4,0.3333333333333333,-10.0,21.75,31.75,B12
Arizona,2025,13,9,0.6923076923076923,12.23076923076923,31.53846153846154,19.307692307692307,Big 12
Arizona State,2014,13,10,0.7692307692307693,9.0,36.92307692307692,27.923076923076923,PAC
Arizona State,2015,13,6,0.46153846153846156,1.1538461538461537,34.61538461538461,33.46153846153846,PAC
Arizona State,2016,12,5,0.4166666666666667,-6.5,33.333333333333336,39.833333333333336,PAC
Arizona State,2017,13,7,0.5384615384615384,-1.0,31.846153846153847,32.84615384615385,PAC
Arizona State,2018,13,7,0.5384615384615384,4.384615384615385,29.923076923076923,25.53846153846154,PAC
Arizona State,2019,13,8,0.6153846153846154,2.3846153846153846,24.76923076923077,22.384615384615383,PAC
Arizona State,2021,13,8,0.6153846153846154,7.538461538461538,28.384615384615383,20.846153846153847,PAC
Arizona State,2022,12,3,0.25,-5.333333333333333,26.083333333333332,31.416666666666668,PAC
Arizona State,2023,12,3,0.25,-14.083333333333334,17.75,31.833333333333332,PAC
Arizona State,2024,14,11,0.7857142857142857,10.357142857142858,32.92857142857143,22.571428571428573,B12
Arizona State,2025,13,8,0.6153846153846154,1.3076923076923077,25.76923076923077,24.46153846153846,Big 12
Arkansas,2014,13,7,0.5384615384615384,12.692307692307692,31.923076923076923,19.23076923076923,SEC
Arkansas,2015,13,8,0.6153846153846154,8.538461538461538,35.92307692307692,27.384615384615383,SEC
Arkansas,2016,13,7,0.5384615384615384,-0.7692307692307693,30.307692307692307,31.076923076923077,SEC
Arkansas,2017,12,4,0.3333333333333333,-7.416666666666667,28.75,36.166666666666664,SEC
Arkansas,2018,12,2,0.16666666666666666,-13.083333333333334,21.666666666666668,34.75,SEC
