season,team,war,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct,implied_wins
2016,Illinois,2.790438553311289,11,2.0,0.1818181818181818,2,0.1818181818181818,
2016,Indiana,4.551893932116753,13,5.5,0.4230769230769231,6,0.4615384615384615,
2016,Iowa,5.321309883979132,12,7.5,0.625,8,0.6666666666666666,
2016,Iowa State,3.468058528065923,11,4.0,0.3636363636363636,3,0.2727272727272727,
2016,Kansas,3.818705959156681,11,1.5,0.1363636363636363,1,0.0909090909090909,
2016,Kansas State,5.66538052095032,12,7.0,0.5833333333333334,8,0.6666666666666666,
2016,Kent State,3.7024385170843583,10,3.0,0.3,2,0.2,
2016,Kentucky,3.3547890265302422,12,4.5,0.375,6,0.5,
2016,LSU,6.287304003175368,11,8.0,0.7272727272727273,7,0.6363636363636364,
2016,Louisiana,2.213964629740393,12,5.0,0.4166666666666667,5,0.4166666666666667,
2016,Louisiana Tech,5.088714351404875,13,8.0,0.6153846153846154,8,0.6153846153846154,
2016,Louisville,5.78144404795276,13,9.5,0.7307692307692307,9,0.6923076923076923,
2016,Marshall,2.618940797098486,11,2.0,0.1818181818181818,2,0.1818181818181818,
2016,Maryland,3.7953412389911065,12,5.5,0.4583333333333333,5,0.4166666666666667,
2016,Massachusetts,2.7795484137431816,11,2.0,0.1818181818181818,1,0.0909090909090909,
2016,Memphis,4.611494521389438,12,6.5,0.5416666666666666,7,0.5833333333333334,
2016,Miami,5.96453004887591,12,9.5,0.7916666666666666,8,0.6666666666666666,
2016,Miami (OH),2.883853850146776,12,6.5,0.5416666666666666,6,0.5,
2016,Michigan,7.057031848640994,13,11.0,0.8461538461538461,10,0.7692307692307693,
2016,Michigan State,3.669931957459838,11,3.0,0.2727272727272727,2,0.1818181818181818,
2016,Middle Tennessee,5.512879935632171,12,5.5,0.4583333333333333,7,0.5833333333333334,
2016,Minnesota,4.469543819405482,12,7.5,0.625,8,0.6666666666666666,
2016,Mississippi State,4.796236995506658,12,6.0,0.5,5,0.4166666666666667,
2016,Missouri,4.62542772918454,11,3.5,0.3181818181818182,3,0.2727272727272727,
2016,NC State,5.712315275029328,12,7.0,0.5833333333333334,6,0.5,
2016,Navy,4.168182950907059,13,7.0,0.5384615384615384,8,0.6153846153846154,
2016,Nebraska,4.2393355218326105,13,8.0,0.6153846153846154,9,0.6923076923076923,
