id,player,team,position,group,overall,key,waa,war,snaps
33172,Deed Capper,Virginia Tech,TE,TE,64,deed capper,-0.01341545446683162,-0.0072557709523026655,18.5
33173,Jay Harper,UL Monroe,CB,CB,67,jay harper,-0.29558010894862025,-0.22677811337740642,374.5
33174,Tyler Jansey,Wisconsin,FB,RB,70,tyler jansey,-0.11813542563968082,-0.09919776895163594,27.0
33181,Julian Savaiinaea,Arizona,DT,DT,70,julian savaiinaea,-0.03846557311966681,-0.015439690726870528,118.0
33183,Jacob Redding,Baylor,FS,SAF,82,jacob redding,0.24515304655875347,0.36952941772487297,677.0
33184,Dylan Schaub,Baylor,TE,TE,64,dylan schaub,-0.020045618552609105,-0.013885935038080152,18.5
33186,Orion Maile-Kaufusi,BYU,LEDG,EDGE,70,orion maile kaufusi,-0.010894708422362117,-0.003674728350044641,37.0
33190,Joe Brown,BYU,RG,OL,71,joe brown,-0.011694462407338116,-0.0017623592187105022,91.0
33193,Grant Edgington,Cincinnati,C,OL,66,grant edgington,-0.02071582161155773,-0.01078371842293012,91.0
33199,Zavian Tibbs,Western Michigan,DT,DT,68,zavian tibbs,-0.12887263210740088,-0.08769923223553634,211.0
33200,Justin Wood,Florida International,TE,TE,61,justin wood,-0.01971989048642295,-0.013560206971893998,18.5
33203,Kyler Pearson,East Carolina,WR,WR,70,kyler pearson,-0.029314932651570976,-0.02092198735533121,37.5
33204,Ayo Shotomide-King,San Diego State,WR,WR,72,ayo shotomide king,-0.014890290676431418,-0.006497345380191648,37.5
33205,Nick Fattig,Stanford,LG,OL,76,nick fattig,0.031812850823284465,0.11656315989987065,776.5
33207,Holton Hendrix,Texas Tech,RG,OL,70,holton hendrix,-0.02206689754936861,-0.012134794360740999,91.0
33208,Macho Stevenson,Tulane,CB,CB,78,macho stevenson,0.12906650687490204,0.2502278315190022,659.5
33210,Andrew Rumph,Jacksonville State,DT,DT,70,andrew rumph,-0.0644349555646599,-0.023261555692795383,211.0
33212,Phil Picciotti,UCF,MIKE,LB,72,phil picciotti,0.06885461439997116,0.15956350466019265,311.5
33213,Jackson Bennee,Utah,FS,SAF,85,jackson bennee,0.3910949045160461,0.5154712756821657,677.0
33214,Logan Castor,Utah,TE,TE,62,logan castor,-0.016968392116948727,-0.010808708602419774,18.5
33218,Dallas Vakalahi,Penn State,DT,DT,76,dallas vakalahi,0.036673187738751556,0.09472573021211506,297.5
33219,Landyn Van Kekerix,Iowa,WILL,LB,74,landyn van kekerix,0.01370436349139022,0.10441325375161169,311.5
33220,Rashad Godfrey Jr.,Iowa,CB,CB,75,rashad godfrey,0.03463227616772024,0.0768871733142601,230.0
33221,Will Hubert,Iowa,DT,DT,75,will hubert,-0.004312241607920183,0.05374030086544331,297.5
33223,Cannon Leonard,Iowa,RT,OL,72,cannon leonard,-0.009839614519784554,9.248866884305857e-05,91.0
33227,Cael Winter,Iowa,LG,OL,73,cael winter,-0.01458077016877333,-0.004648666980145717,91.0
33228,Da'Jaun Riggs,Oregon,HB,RB,73,dajaun riggs,-0.04853976944901545,-0.012768640149375118,51.0
