team,war,massey,f
Georgia Tech,4.352252006543908,0.3467701240034981,0.0531958411995512
Wake Forest,4.291437548445404,0.2537441394885578,0.007027804422136085
Boston College,4.163108927241423,0.2976459768610368,-0.0029086870992391517
Memphis,4.12786295511418,-0.2924147103190372,0.001181138946118614
San Diego State,4.119510890480766,-0.12481928555855325,0.043195153430282546
Rutgers,4.0622062115669575,0.1609772406159771,-0.05034999059905854
Wyoming,3.894428363391141,-0.37908901166122766,-0.6625350407943678
Stanford,3.885181541816412,0.25566502351945497,-0.08075310321683388
Kansas,3.8223476562235947,0.1931180202029506,-0.07743604277757064
Duke,3.778950952566479,0.24506138837294825,-0.08559013010301983
West Virginia,3.7102320086713343,0.16509733295363252,-0.10008601471302361
UNLV,3.694786590954805,-0.29534492803015855,-0.13970243206341587
Iowa State,3.690635794299174,0.16338745559379506,-0.11048449012803216
Utah State,3.619196977601665,-0.07553108238275856,-0.08721930330748978
Tulsa,3.48559254932507,-0.18201290025104702,-0.1715433915335051
Purdue,3.362166585183646,0.21794653391684063,-0.19815419092811676
Texas State,3.2966932452969218,-0.0923312730977517,-0.1998695511287797
South Florida,3.085218596994287,-0.3345944200538862,-0.26522365975491025
UTSA,3.026112687006658,-0.198845724213662,-0.2766334029773079
Fresno State,2.861270845568375,-0.1771407166483928,-0.3294469764429733
Liberty,2.847846203479496,-0.34754304569278627,-0.29577996110757365
Delaware,2.7564525376899724,-0.22794065635445568,-0.3013518506353748
Oregon State,2.5844392828912706,-0.09715601536413908,-0.34404941813748124
North Texas,2.575818004901258,-0.23379915405895602,-0.3684970779555976
North Dakota State,2.553611195468886,-0.38825286726339076,-0.4516629644096158
Air Force,2.534499015097226,-0.36273991116602583,-0.3579341591727778
New Mexico,2.458403952319637,-0.31689661758262416,-0.4644075196046378
Navy,2.2130974568947583,-0.24981071327675697,-0.22262974937793678
Tulane,2.121669887644826,-0.2528967476131532,-0.5086453730960703
James Madison,1.975491267428376,-0.3614307427868652,-0.4832660791893329
Hawai'i,1.9203935188167645,-0.3056602524544656,-0.6842602219304861
Jacksonville State,1.8334193050144738,-0.364279266818832,-0.5186249325012088
Georgia Southern,1.8098579318416752,-0.2795850242562797,-0.5179619249065806
Western Michigan,1.7114442959322131,-0.31663489460421546,-0.5394925844990264
UConn,1.616450671942151,-0.2528935498939365,-0.6907895894215544
Kennesaw State,1.5351827814393821,-0.3001765229793206,-0.5490094178786926
UAB,1.4434040932616747,-0.3128947077838678,-0.6038619500448472
Marshall,1.4034459236168928,-0.3464889765245706,-0.5345903915556408
Florida Atlantic,1.3395852016066847,-0.2829258016260183,-0.6183940021112783
Washington State,1.323438364441234,-0.07636474721342108,-0.5848582301515244
Temple,1.2419224546366148,-0.33116898107336856,-0.6705524587274172
Colorado State,1.1655734556685569,-0.17248272890212057,-0.7114709588580856
Georgia State,1.1206481260108605,-0.3534680439603424,-0.6529799342062946
Missouri State,1.045915902639496,-0.2472598859564613,-0.6703677147651942
Arkansas State,1.0407513561730388,-0.3557667279355671,-0.6282873675850196
Ohio,0.9795631407265691,-0.367743591666857,-0.7234700636281327
Nevada,0.9012033792531967,-0.3556424961418263,-0.803500963739624
Miami (OH),0.8516352827036365,-0.30677907129813664,-0.755282435221634
Florida International,0.8180244434616564,-0.3826617332302759,-0.6949443778016791
Sacramento State,0.7774582674109975,-0.41408681407554876,-0.7797216899245366
New Mexico State,0.6985816029415427,-0.3204389035830682,-0.7424523727536689
App State,0.6691991329275193,-0.35168084141135375,-0.7082809578922487
East Carolina,0.5124533585934699,-0.32106009148231374,-0.7962881812533278
Army,0.3439546283621303,-0.3688954022466133,-0.8295332152164199
Coastal Carolina,0.3156730118673165,-0.36694021460460663,-0.8292581274923119
Eastern Michigan,0.3082731026267397,-0.3455098157328408,-0.8769430438381067
Old Dominion,0.20940360151039605,-0.351550369973163,-0.8505746675851766
Louisiana Tech,0.20147412754069494,-0.3008682579635152,-0.8552559349619627
Toledo,0.1741735036340639,-0.3730954875896828,-0.8842868503282727
San José State,0.12360691138885561,-0.3716139928427648,-1.0906410036054561
UTEP,0.0752231797962313,-0.3017928435955722,-1.1001925804929868
Sam Houston,0.037478759583068566,-0.33774410901116647,-0.8440062069395659
Akron,0.0014440666729231386,-0.3265356716532313,-0.9532978575267487
Buffalo,-0.0005220695709744934,-0.388777254827847,-0.8423078451592121
Northern Illinois,-0.11182139973888587,-0.35197244111863546,-1.1568464994922083
Middle Tennessee,-0.1858195757734999,-0.36265482082751366,-0.9254164515921441
Western Kentucky,-0.2812272955132389,-0.27398888737715454,-0.9602315846453298
Central Michigan,-0.2928147163906149,-0.3877939546294353,-1.1418876908028444
Ball State,-0.37268051750941084,-0.3459570648021873,-1.005604438782282
Charlotte,-0.46197364993714063,-0.3071039494913188,-1.0049394933867275
Bowling Green,-0.7414230246022058,-0.35175874617135533,-1.0557249066086067
Troy,-0.928875902381616,-0.35244295230119516,-1.0963338219513041
South Alabama,-1.011369241820739,-0.3731170013585256,-1.0773859477229162
Louisiana,-1.0945723895387582,-0.39672713721661035,-1.1002700787733113
Southern Miss,-1.1153236442794758,-0.365059787289396,-1.1180568510868174
Kent State,-1.2280040264239518,-0.3197923150781723,-1.215603041558018
Rice,-1.2533379087180136,-0.3178236746712047,-1.1781931531290364
